d [mm],f [GHz],pPDn [W/m2],pPDtot [W/m2],psPDn_1 [W/m2],psPDtot_1 [W/m2],psPDn_4 [W/m2],psPDtot_4 [W/m2],pDeltaT [°C],pDeltaT * 100 [°C]
2,10,105.05478668213,105.61368850795,31.77110829892,44.902125000936,11.038942293299,19.246780504355,0.312389502762431,31.2389502762431
5,10,29.04070854187,29.061921393137,18.015772727567,20.741649590024,8.379225996057,11.443541578169,0.0743509468540013,7.43509468540013
10,10,10.232571601868,10.23433360456,8.2700140955693,8.7314629831544,5.2360568044184,6.1441767554899,0.0207642149191446,2.07642149191446
50,10,0.49307304620743,0.49378320170084,0.48842921127849,0.48996731978942,0.47406976141734,0.4798323565748,0.00182895414734677,0.182895414734677
150,10,0.07323444634676,0.073234467548535,0.072404072160729,0.072411760448349,0.070097682367303,0.07012878030635,0.00023755938984753,0.023755938984753
2,30,204.736250322568,205.157653597594,37.2480861146943,55.1927492924571,10.9771445823897,20.1329202937378,0.249387694145759,24.9387694145759
5,30,45.9329513652737,45.9487638664113,21.5284787891047,25.6012787362967,8.57474255736346,12.2408262696057,0.102804965385534,10.2804965385534
10,30,12.3023136639821,12.3035181546437,9.30824909337841,9.94439157647183,5.47110880700987,6.56463455453287,0.0388149790588815,3.8814979058881502
50,30,0.510804785811973,0.510809440647971,0.497318745949665,0.499810345025856,0.479697321715886,0.485571713213701,0.00236270753512136,0.236270753512136
150,30,0.0857968720208635,0.0857971021888859,0.074883913192329,0.075013271983918,0.0591035554053382,0.0592887195695435,0.000263361735089107,0.0263361735089107
2,60,272.448593114077,272.484452062705,37.4168368064939,56.7530640788856,10.9410841622924,20.4064565351185,0.309410174490047,30.941017449004697
5,60,49.0515396815897,49.0527772057709,21.868532058001,26.2801983171451,8.5897164181209,12.3769429175557,0.129570965328012,12.957096532801199
10,60,12.410430141063,12.4105137734199,9.35475459505961,10.0150885425988,5.49449497663419,6.61243198231662,0.0483062674448109,4.830626744481091
50,60,0.553859293332416,0.553859418787527,0.480357142149138,0.481965982380919,0.468440029670589,0.47494286616452,0.00288341968911917,0.288341968911917
150,60,0.0585941769501963,0.0586859597979615,0.0542046253176897,0.0543726228060666,0.0636262337027328,0.063920364066063,0.000457388584831899,0.0457388584831899
2,10,107.80185354921,114.715376726171,32.0677255892471,47.9012823347225,10.7151478198576,19.7585066969351,0.644713339,64.4713339
5,10,29.8652717816101,30.0628074217688,18.3698494896267,21.3813423705776,8.2883350880291,11.60179142933,0.14855803489685,14.855803489684998
10,10,10.4343922072425,10.4508340124506,8.38216284733834,8.88922291943863,5.23198366182342,6.20733009570797,0.042363052368164,4.2363052368164
50,10,0.51095138260617,0.510983866809408,0.503757881756448,0.505456690862835,0.483317447022397,0.489608881017793,0.00428201556205749,0.428201556205749
